fips,county,state,block_type,year
21213,Simpson County,Kentucky,B,2014.0
21215,Spencer County,Kentucky,B,2014.0
21217,Taylor County,Kentucky,B,2014.0
21219,Todd County,Kentucky,B,2014.0
21221,Trigg County,Kentucky,B,2014.0
21223,Trimble County,Kentucky,B,2014.0
21225,Union County,Kentucky,B,2014.0
21227,Warren County,Kentucky,B,2014.0
21229,Washington County,Kentucky,B,2014.0
21231,Wayne County,Kentucky,B,2014.0
21233,Webster County,Kentucky,B,2014.0
21235,Whitley County,Kentucky,B,2014.0
21237,Wolfe County,Kentucky,B,2014.0
21239,Woodford County,Kentucky,B,2014.0
24003,Anne Arundel County,Maryland,B,2022.0
24009,Calvert County,Maryland,B,2010.0
24019,Dorchester County,Maryland,B,2022.0
24021,Frederick County,Maryland,B,2009.0
24029,Kent County,Maryland,B,2016.0
24039,Somerset County,Maryland,B,2019.0
24047,Worcester County,Maryland,B,2015.0
26037,Clinton County,Michigan,M,2023.0
29019,Boone County,Missouri,B,2021.0
29021,Buchanan County,Missouri,B,2022.0
29049,Clinton County,Missouri,B,2019.0
31111,Lincoln County,Nebraska,M,2023.0
31145,Red Willow County,Nebraska,M,2023.0
31167,Stanton County,Nebraska,B,2018.0
37005,Alleghany County,North Carolina,B,2009.0
37009,Ashe County,North Carolina,B,2023.0
37011,Avery County,North Carolina,B,2009.0
37021,Buncombe County,North Carolina,B,2009.0
37023,Burke County,North Carolina,B,2009.0
37027,Caldwell County,North Carolina,B,2009.0
37039,Cherokee County,North Carolina,B,2009.0
37043,Clay County,North Carolina,B,2009.0
37053,Currituck County,North Carolina,B,2008.0
37075,Graham County,North Carolina,B,2009.0
37087,Haywood County,North Carolina,B,2009.0
37089,Henderson County,North Carolina,B,2009.0
37099,Jackson County,North Carolina,B,2009.0
37111,McDowell County,North Carolina,B,2009.0
37113,Macon County,North Carolina,B,2009.0
37115,Madison County,North Carolina,B,2009.0
37121,Mitchell County,North Carolina,B,2009.0
37149,Polk County,North Carolina,B,2009.0
37161,Rutherford County,North Carolina,B,2009.0
37171,Surry County,North Carolina,B,2009.0
37173,Swain County,North Carolina,B,2009.0
37175,Transylvania County,North Carolina,B,2009.0
37189,Watauga County,North Carolina,B,2009.0
37193,Wilkes County,North Carolina,B,2009.0
37199,Yancey County,North Carolina,B,2009.0
39003,Allen County,Ohio,B,2022.0
39011,Auglaize County,Ohio,B,2022.0
39015,Brown County,Ohio,B,2022.0
39017,Butler County,Ohio,B,2023.0
39029,Columbiana County,Ohio,B,2023.0
39033,Crawford County,Ohio,M,2022.0
39043,Erie County,Ohio,B,2023.0
39063,Hancock County,Ohio,B,2023.0
39083,Knox County,Ohio,B,2023.0
39091,Logan County,Ohio,B,2022.0
